,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow,RGBA,Sunrise,Sunset
49,K41U,Manti-Ephraim Airport,US,UT,39.3313,-111.6127,4.5,,"[0.7811511701454774, 1.0, 0.18659076533839347, 1.0]",2024-11-11 14:06:36+00:00,2024-11-11 00:13:48+00:00
50,KCBK,Colby,US,KS,39.4274,-101.0466,8.7,,"[1.0, 0.9012345679012348, 0.0, 1.0]",2024-11-11 13:24:36+00:00,2024-11-10 23:31:48+00:00
51,KRNO,Reno/Tahoe International  Airport,US,NV,39.4833,-119.7667,9.4,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2024-11-11 14:39:36+00:00,2024-11-11 00:46:12+00:00
52,KIND,Indianapolis International  Airport,US,IN,39.7167,-86.1167,13.4,,"[1.0, 0.6107480029048659, 0.0, 1.0]",2024-11-11 12:25:48+00:00,2024-11-10 22:31:12+00:00
53,KSPI,Springfield / Bando,US,IL,39.8442,-89.6781,12.7,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 12:40:12+00:00,2024-11-10 22:45:00+00:00
54,KPHL,Philadelphia International Airport,US,PA,39.8667,-75.2333,19.2,,"[1.0, 0.24763979665940472, 0.0, 1.0]",2024-11-11 11:42:00+00:00,2024-11-10 21:47:24+00:00
55,KBJC,Denver / Broomfield / Countryside,US,CO,39.9088,-105.1172,0.2,,"[0.5534471853257431, 1.0, 0.4142947501581278, 1.0]",2024-11-11 13:42:00+00:00,2024-11-10 23:46:48+00:00
56,KOSU,Columbus / Linworth,US,OH,40.0798,-83.073,12.8,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 12:14:24+00:00,2024-11-10 22:18:36+00:00
57,KPIT,Greater Pittsburgh International,US,PA,40.4833,-80.0667,12.9,,"[1.0, 0.6397966594045028, 0.0, 1.0]",2024-11-11 12:03:00+00:00,2024-11-10 22:05:24+00:00
58,KJRB,New York / Wall Street,US,NY,40.7012,-74.009,18.4,,"[1.0, 0.2912127814088604, 0.0, 1.0]",2024-11-11 11:39:00+00:00,2024-11-10 21:40:48+00:00
59,KSLC,Salt Lake City International  Airport,US,UT,40.7833,-111.9667,11.0,,"[1.0, 0.7559912854030507, 0.0, 1.0]",2024-11-11 14:11:24+00:00,2024-11-11 00:12:00+00:00
60,KLNK,Lincoln Municipal Airport,US,NE,40.8333,-96.7647,10.2,,"[1.0, 0.8140885984023241, 0.0, 1.0]",2024-11-11 13:10:48+00:00,2024-11-10 23:11:24+00:00
61,KLBF,North Platte Regional Airport,US,NE,41.1167,-100.6667,7.6,,"[0.9582542694497153, 0.973856209150327, 0.009487666034155628, 1.0]",2024-11-11 13:27:00+00:00,2024-11-10 23:26:24+00:00
62,KFEW,Cheyenne F E Warren / Warren Air Force Base,US,WY,41.1333,-104.8672,8.0,,"[0.9835547122074635, 0.9448075526506902, 0.0, 1.0]",2024-11-11 13:43:48+00:00,2024-11-10 23:43:12+00:00
63,KHVN,New Haven / Morris Cove,US,CT,41.2638,-72.8868,17.6,,"[1.0, 0.34931009440813376, 0.0, 1.0]",2024-11-11 11:36:00+00:00,2024-11-10 21:34:48+00:00
64,KOMA,Omaha Eppley Airfield,US,NE,41.3,-95.9,9.4,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2024-11-11 13:08:24+00:00,2024-11-10 23:06:36+00:00
65,KBKL,Brookville / Old Chinatown,US,PA,41.5175,-81.6833,11.8,,"[1.0, 0.712418300653595, 0.0, 1.0]",2024-11-11 12:12:00+00:00,2024-11-10 22:09:36+00:00
66,KDSM,Des Moines International,US,IA,41.5333,-93.6531,9.2,,"[1.0, 0.872185911401598, 0.0, 1.0]",2024-11-11 13:00:00+00:00,2024-11-10 22:57:36+00:00
67,KTDZ,Toledo / Cummings (Historical),US,OH,41.5649,-83.4822,12.2,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 12:19:12+00:00,2024-11-10 22:16:48+00:00
68,KMDW,Chicago Midway Airport,US,IL,41.7833,-87.75,11.9,,"[1.0, 0.712418300653595, 0.0, 1.0]",2024-11-11 12:36:36+00:00,2024-11-10 22:33:00+00:00
69,KLMT,Klamath Falls / Falcon Heights,US,OR,42.1561,-121.7332,2.6,,"[0.6799493991144844, 1.0, 0.2877925363693865, 1.0]",2024-11-11 14:53:24+00:00,2024-11-11 00:48:00+00:00
70,KBOS,Boston Logan International,US,MA,42.3667,-71.0167,16.7,,"[1.0, 0.40740740740740755, 0.0, 1.0]",2024-11-11 11:31:12+00:00,2024-11-10 21:25:12+00:00
71,KDET,Detroit / Hamtramck,US,MI,42.4092,-83.0099,12.3,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 12:19:12+00:00,2024-11-10 22:12:36+00:00
72,KPVB,Platteville / Ipswich,US,WI,42.6894,-90.4444,7.2,,"[0.932953826691967, 1.0, 0.03478810879190386, 1.0]",2024-11-11 12:49:48+00:00,2024-11-10 22:42:00+00:00
73,KGRR,Gerald R. Ford International,US,MI,42.8833,-85.5167,11.5,,"[1.0, 0.7269426289034134, 0.0, 1.0]",2024-11-11 12:30:36+00:00,2024-11-10 22:21:36+00:00
74,KMHT,Manchester Airport,US,NH,42.9296,-71.4356,16.2,,"[1.0, 0.4364560639070445, 0.0, 1.0]",2024-11-11 11:34:12+00:00,2024-11-10 21:25:12+00:00
75,KBUF,Buffalo Airport,US,NY,42.9333,-78.7333,12.3,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 12:03:00+00:00,2024-11-10 21:54:36+00:00
76,KMKE,Gen Mitchell International Airport,US,WI,42.955,-87.9044,10.3,,"[1.0, 0.7995642701525056, 0.0, 1.0]",2024-11-11 12:40:12+00:00,2024-11-10 22:31:12+00:00
77,CYXU,London International Airport,CA,ON,43.03,-81.15,10.7,,"[1.0, 0.7850399419026872, 0.0, 1.0]",2024-11-11 12:13:12+00:00,2024-11-10 22:03:36+00:00
78,KSYR,Syracuse Hancock International  Airport,US,NY,43.1167,-76.1,15.3,,"[1.0, 0.4945533769063183, 0.0, 1.0]",2024-11-11 11:53:24+00:00,2024-11-10 21:43:12+00:00
79,KIDA,Idaho Falls / Orvin,US,ID,43.5137,-112.0708,1.0,,"[0.5913978494623655, 1.0, 0.3763440860215054, 1.0]",2024-11-11 14:18:00+00:00,2024-11-11 00:06:00+00:00
80,KBOI,Boise Air Terminal,US,ID,43.5667,-116.2333,10.2,,"[1.0, 0.8140885984023241, 0.0, 1.0]",2024-11-11 14:34:48+00:00,2024-11-11 00:22:48+00:00
81,KFSD,Sioux Falls Foss Field,US,SD,43.5833,-96.75,4.2,,"[0.7685009487666034, 1.0, 0.19924098671726753, 1.0]",2024-11-11 13:16:48+00:00,2024-11-10 23:04:48+00:00
82,KJAC,Jackson Hole / Moose,US,WY,43.6073,-110.7378,1.9,,"[0.641998734977862, 1.0, 0.3257432005060089, 1.0]",2024-11-11 14:13:12+00:00,2024-11-11 00:00:36+00:00
83,KPWM,Portland International  Jetport,US,ME,43.65,-70.1333,14.6,,"[1.0, 0.5381263616557737, 0.0, 1.0]",2024-11-11 11:30:36+00:00,2024-11-10 21:18:00+00:00
84,CXTO,Toronto City,CA,ON,43.67,-79.4,11.2,,"[1.0, 0.7559912854030507, 0.0, 1.0]",2024-11-11 12:07:48+00:00,2024-11-10 21:55:12+00:00
85,KMPV,Montpelier / Berlin Corners,US,VT,44.2035,-72.5623,12.8,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2024-11-11 11:41:24+00:00,2024-11-10 21:26:24+00:00
86,CYGK,Kingston,CA,ON,44.2167,-76.6,12.3,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 11:57:36+00:00,2024-11-10 21:42:36+00:00
87,KPIR,Pierre / Alto,US,SD,44.3827,-100.286,4.3,,"[0.7685009487666034, 1.0, 0.19924098671726753, 1.0]",2024-11-11 13:33:00+00:00,2024-11-10 23:16:48+00:00
88,CXMI,McNabs Island / Eastern Passage,CA,NS,44.6,-63.5333,11.1,,"[1.0, 0.7559912854030507, 0.0, 1.0]",2024-11-11 11:06:36+00:00,2024-11-10 20:49:12+00:00
89,KBGR,Bangor / Martells Mobile Home Court,US,ME,44.8074,-68.8281,13.9,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2024-11-11 11:28:12+00:00,2024-11-10 21:10:12+00:00
90,KBKE,Baker / Estes (Historical),US,OR,44.8373,-117.8091,2.4,,"[0.6672991777356103, 1.0, 0.30044275774826057, 1.0]",2024-11-11 14:44:24+00:00,2024-11-11 00:25:48+00:00
91,KSTP,Saint Paul,US,MN,44.9346,-93.0603,5.1,,"[0.8191018342820998, 1.0, 0.14864010120177107, 1.0]",2024-11-11 13:05:24+00:00,2024-11-10 22:46:48+00:00
92,CYOW,Ottawa International Airport,CA,ON,45.32,-75.67,12.2,,"[1.0, 0.6833696441539581, 0.0, 1.0]",2024-11-11 11:57:00+00:00,2024-11-10 21:36:00+00:00
93,CYSJ,Saint John Airport,CA,NB,45.32,-65.89,11.3,,"[1.0, 0.741466957153232, 0.0, 1.0]",2024-11-11 11:18:00+00:00,2024-11-10 20:57:00+00:00
94,CWTA,Montreal McTavish,CA,QC,45.5,-73.58,11.8,,"[1.0, 0.712418300653595, 0.0, 1.0]",2024-11-11 11:49:12+00:00,2024-11-10 21:27:00+00:00
95,KPDX,Portland International  Airport,US,OR,45.5833,-122.6,11.4,,"[1.0, 0.741466957153232, 0.0, 1.0]",2024-11-11 15:05:24+00:00,2024-11-11 00:43:12+00:00
96,CYQM,Moncton Romeo Leblanc International Airport,CA,NB,46.11,-64.68,9.5,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2024-11-11 11:15:00+00:00,2024-11-10 20:49:48+00:00
97,CYYG,Charlottetown Airport,CA,PE,46.29,-63.12,8.2,,"[0.9835547122074635, 0.9448075526506902, 0.0, 1.0]",2024-11-11 11:09:36+00:00,2024-11-10 20:43:12+00:00
98,KLWS,Lewiston Nez Perce Co Airport,US,ID,46.3667,-117.0167,5.5,,"[0.844402277039848, 1.0, 0.12333965844402273, 1.0]",2024-11-11 14:45:36+00:00,2024-11-11 00:18:36+00:00
